observation_id,choice,total_travel_time_walk_transit_walk,total_travel_time_drive_alone,total_travel_cost_walk_transit_walk,total_travel_cost_drive_alone
420,walk_transit_walk,75.08,28.47,3.22,1.933
425,drive_alone,54.58,17.16,9.65,0.6856
429,drive_alone,103.42,28.31,3.22,2.4542
433,drive_alone,62.44,9.25,3.22,0.499
435,drive_alone,117.61,43.48,11.02,8.0776
437,walk_transit_walk,62.31,31.94,3.22,1.9829
438,drive_alone,79.01,24.74,3.22,1.7094
439,drive_alone,106.72,26.11,4.43,1.8609
440,walk_transit_walk,61.12,19.1,3.22,0.6154
442,drive_alone,88.82,35.04,3.22,3.3079
443,walk_transit_walk,83.7,23.46,3.22,1.1754
444,walk_transit_walk,66.18,31.03,3.22,1.9256
446,drive_alone,78.4,28.63,3.22,1.4082
447,drive_alone,110.64,32.11,3.22,1.8166
448,walk_transit_walk,88.04,35.38,5.62,6.9929
451,walk_transit_walk,65.37,24.45,2.82,2.2176
452,drive_alone,156.16,31.63,3.22,2.3358
453,walk_transit_walk,88.1,40.51,3.22,2.6999
458,drive_alone,84.31,25.34,1.61,1.7501
461,drive_alone,28.73,11.45,3.22,0.425
462,drive_alone,34.22,11.45,3.22,0.425
465,walk_transit_walk,86.7,31.01,5.84,2.5688
470,drive_alone,127.93,40.05,8.92,8.1331
473,drive_alone,91.13,20.76,3.22,1.3435
474,walk_transit_walk,67.86,23.51,3.22,0.8353
476,walk_transit_walk,52.8,19.81,3.22,1.02
480,walk_transit_walk,82.54,29.54,5.84,2.8903
481,walk_transit_walk,121.32,46.88,8.96,10.6837
483,drive_alone,110.15,27.03,3.22,1.7759
485,drive_alone,46.85,14.06,3.22,0.8058
488,walk_transit_walk,54.16,33.78,3.22,2.1788
489,walk_transit_walk,56.56,34.57,3.22,2.2084
492,walk_transit_walk,91.71,27.91,3.22,1.5930000000000002
495,drive_alone,53.6,14.69,3.62,0.68
497,drive_alone,89.75,23.62,3.22,1.7630000000000001
498,drive_alone,105.22,23.93,3.22,1.5042
499,drive_alone,97.0,32.02,3.22,1.7667
502,drive_alone,207.17,52.59,8.72,9.5154
507,drive_alone,95.91,27.6,1.81,1.9404
509,drive_alone,71.81,19.22,3.22,0.7318
511,walk_transit_walk,57.8,24.59,3.22,1.1957
513,drive_alone,66.28,24.13,3.22,1.5745
514,drive_alone,54.41,18.16,3.22,0.6246
515,walk_transit_walk,47.74,18.28,3.22,0.8446
518,drive_alone,69.77,26.36,3.02,2.2028
519,walk_transit_walk,67.31,28.2,3.22,1.8758
520,drive_alone,48.87,25.39,6.84,1.2363
523,drive_alone,58.2,19.46,3.22,0.8242
524,drive_alone,90.98,22.99,5.84,2.0808
526,drive_alone,62.85,16.05,3.22,0.5599
532,drive_alone,73.95,24.06,4.63,1.2492
533,walk_transit_walk,56.08,26.54,2.82,1.8203
537,drive_alone,49.77,17.08,3.02,0.6948
542,drive_alone,122.65,16.62,3.22,1.1236
545,walk_transit_walk,46.42,20.49,3.22,0.6708
549,walk_transit_walk,66.42,30.21,5.84,2.8903
551,drive_alone,106.94,21.92,3.22,1.7944
554,walk_transit_walk,64.44,28.14,3.22,1.5967
559,drive_alone,119.74,35.55,3.22,2.7092
560,drive_alone,81.1,16.15,3.22,1.0422
561,drive_alone,137.56,34.76,8.84,7.4826
564,walk_transit_walk,100.98,32.97,5.59,3.1804
565,walk_transit_walk,82.92,32.63,3.22,2.0568
571,drive_alone,74.55,33.19,3.22,2.042
572,walk_transit_walk,75.16,32.89,3.22,2.0439
573,walk_transit_walk,58.0,26.62,3.22,1.4211
579,drive_alone,74.35,19.11,3.02,1.2474
582,drive_alone,107.54,36.23,4.63,3.2359
588,walk_transit_walk,85.78,23.18,3.22,1.4192
589,drive_alone,66.91,19.06,3.22,1.2344
593,walk_transit_walk,30.74,15.41,3.22,0.4842
594,walk_transit_walk,77.9,26.26,3.22,1.6484
595,walk_transit_walk,63.21,24.19,3.22,1.2474
596,walk_transit_walk,76.12,33.9,3.22,2.1825
597,walk_transit_walk,88.86,23.9,3.22,1.6522
599,walk_transit_walk,87.1,37.26,3.22,2.4726
600,drive_alone,70.17,26.11,2.82,1.787
602,walk_transit_walk,99.36,29.36,3.22,1.7316
604,walk_transit_walk,58.11,19.24,3.22,0.7909
606,walk_transit_walk,115.96,30.87,3.22,1.9571
607,walk_transit_walk,38.8,14.22,3.22,0.4288
608,walk_transit_walk,38.8,14.22,3.22,0.4288
609,walk_transit_walk,38.8,14.22,3.22,0.4288
613,walk_transit_walk,58.56,28.55,3.22,1.726
619,drive_alone,95.14,57.22,5.78,8.1405
620,drive_alone,69.47,19.51,3.22,0.9535
621,walk_transit_walk,104.14,31.62,3.22,1.8719999999999999
625,walk_transit_walk,60.5,23.35,3.02,1.0774
628,walk_transit_walk,54.75,23.63,2.82,1.3527
629,drive_alone,63.78,29.47,3.22,2.1603
638,walk_transit_walk,83.53,27.81,4.43,1.6392
642,walk_transit_walk,47.35,21.59,3.22,0.8261
643,drive_alone,78.52,19.28,3.22,1.1531
