Date,Temperature,Load
2016-06-01,76.03333333333333,1927.875
2016-06-02,75.20000000000002,1896.4166666666667
2016-06-03,72.89375,1868.2916666666667
2016-06-04,73.1875,1652.7083333333333
2016-06-05,69.7032258064516,1547.875
2016-06-06,68.28148148148149,1654.875
2016-06-07,63.521875,1538.2083333333333
2016-06-08,57.28125,1396.5416666666667
2016-06-09,61.525,1425.8333333333333
2016-06-10,70.2375,1569.5833333333333
2016-06-11,79.32608695652173,1804.8333333333333
2016-06-12,72.825,1641.5
2016-06-13,64.29166666666667,1514.6666666666667
2016-06-14,68.30416666666666,1569.5833333333333
2016-06-15,74.148,1784.4166666666667
2016-06-16,71.38250000000001,1755.4166666666667
2016-06-17,71.53793103448275,1744.125
2016-06-18,74.325,1721.625
2016-06-19,75.125,1707.0416666666667
2016-06-20,77.175,1961.5
2016-06-21,77.1076923076923,1994.625
2016-06-22,71.25416666666666,1768.0416666666667
2016-06-23,69.70681818181818,1705.2083333333333
2016-06-24,72.50606060606061,1809.375
2016-06-25,76.10416666666667,1821.0833333333333
2016-06-26,79.76666666666667,1928.375
2016-06-27,78.828,2123.1666666666665
2016-06-28,73.90416666666665,1951.0833333333333
2016-06-29,64.77307692307691,1589.0416666666667
2016-06-30,68.34782608695652,1635.5416666666667
2016-07-01,69.27857142857144,1620.0833333333333
2016-07-02,64.92916666666666,1376.0416666666667
2016-07-03,66.01666666666667,1322.7083333333333
2016-07-04,69.47333333333333,1434.5416666666667
2016-07-05,74.8121212121212,1829.9166666666667
2016-07-06,76.44642857142857,1996.1666666666667
2016-07-07,75.91515151515152,1962.5
2016-07-08,76.17586206896551,1997.8333333333333
2016-07-09,75.368,1820.1666666666667
2016-07-10,72.99583333333334,1633.0
2016-07-11,74.72916666666667,1846.0
2016-07-12,79.15652173913043,2048.7916666666665
2016-07-13,78.91851851851852,2199.7083333333335
2016-07-14,76.27586206896552,2148.2083333333335
2016-07-15,75.23,2024.2083333333333
2016-07-16,73.51379310344828,1817.8333333333333
2016-07-17,75.5625,1818.375
2016-07-18,78.46785714285714,2051.2916666666665
2016-07-19,76.348,1994.7916666666667
2016-07-20,73.37083333333334,1862.5416666666667
2016-07-21,76.575,1981.2083333333333
2016-07-22,77.425,2054.9166666666665
2016-07-23,79.30416666666666,2062.0416666666665
2016-07-24,76.46296296296296,1965.5416666666667
2016-07-25,80.99615384615385,2216.75
2016-07-26,78.74583333333334,2162.3333333333335
2016-07-27,79.02083333333333,2125.875
2016-07-28,72.47999999999999,1909.5416666666667
2016-07-29,71.28,1934.5833333333333
2016-07-30,71.92368421052632,1729.2916666666667
2016-07-31,72.76875,1810.3333333333333
